departement,annee,sau,part_sau,exploitations,sau_m_ha
1,1970,302065,52.23,19131,15.79
1,1979,296050,51.19,14651,20.21
1,1988,273742,47.33,11324,24.17
1,2000,254497,44.01,6317,40.29
1,2010,247402,42.78,4094,60.43
1,2020,244785.17,42.33,3017,81.14
2,1970,506782,68.2,10694,47.39
2,1979,507427,68.28,9326,54.41
2,1988,503798,67.79,8285,60.81
2,2000,497639,66.97,6067,82.02
2,2010,493330,66.39,5062,97.46
2,2020,493926.17,66.47,4472,110.45
3,1970,532285,72.16,17251,30.86
3,1979,530957,71.98,13680,38.81
3,1988,517201,70.12,10967,47.16
3,2000,502545,68.13,7338,68.49
3,2010,486316,65.93,5523,88.05
3,2020,479403.66,64.99,4356,110.06
4,1970,166952,23.82,5711,29.23
4,1979,158712,22.65,5085,31.21
4,1988,140923,20.11,4466,31.55
4,2000,165807,23.66,2947,56.26
4,2010,145106,20.71,2181,66.53
4,2020,158946.36,22.68,2064,77.01
5,1970,93085,16.34,5625,16.55
5,1979,87187,15.31,4310,20.23
5,1988,87421,15.35,3369,25.95
5,2000,95372,16.74,2318,41.14
5,2010,95896,16.84,1795,53.42
5,2020,91978.8,16.15,1646,55.88
6,1970,27418,6.37,10245,2.68
6,1979,32794,7.62,7253,4.52
6,1988,55540,12.91,5002,11.1
6,2000,61113,14.2,2620,23.33
6,2010,41993,9.76,1894,22.17
6,2020,41141.17,9.56,1192,34.51
7,1970,185609,33.33,20437,9.08
7,1979,180183,32.35,15051,11.97
7,1988,155283,27.88,10677,14.54
7,2000,144333,25.91,7086,20.37
7,2010,128501,23.07,4713,27.27
7,2020,122126.55,21.93,3748,32.58
8,1970,313803,59.72,7151,43.88
8,1979,317779,60.48,6346,50.08
8,1988,316431,60.22,5542,57.1
8,2000,309926,58.99,3768,82.25
8,2010,302043,57.49,2979,101.39
8,2020,305033.31,58.06,2623,116.29
9,1970,140738,28.54,8506,16.55
9,1979,140770,28.55,6605,21.31
9,1988,138003,27.99,5091,27.11
9,2000,138037,27.99,3146,43.88
9,2010,132162,26.8,2664,49.61
9,2020,134952.54,27.37,2265,59.58
10,1970,356012,59.06,7779,45.77
